,Name,Value,Unit
0,chiller_evap_flow_consol_4nc_tenwkflow,729.26,m3/h
1,chiller_ret_4nc_etret,276.97,K
2,chiller1_evap_4nc_etret,276.97,K
3,chiller1_evap_4nc_ctin,300.62434912,K
4,chiller1_evap_4nc_tenwkflow,729.26,m3/h
5,chiller1_evap_4nc_piecewise_steps,4.0,-
6,chiller1_evap_nwk_4nc_piecewise_steps,4.0,-
7,chiller1_evap_nwk_4nc_tenwkflow,729.26,m3/h
8,chiller1_evap_pump_4nc_piecewise_steps,4.0,-
9,chiller2_evap_4nc_etret,276.97,K
10,chiller2_evap_4nc_ctin,300.62434912,K
11,chiller2_evap_4nc_tenwkflow,729.26,m3/h
12,chiller2_evap_4nc_piecewise_steps,4.0,-
13,chiller2_evap_nwk_4nc_piecewise_steps,4.0,-
14,chiller2_evap_nwk_4nc_tenwkflow,729.26,m3/h
15,chiller2_evap_pump_4nc_piecewise_steps,4.0,-
16,chiller3_evap_4nc_etret,276.97,K
17,chiller3_evap_4nc_ctin,300.62434912,K
18,chiller3_evap_4nc_tenwkflow,729.26,m3/h
19,chiller3_evap_4nc_piecewise_steps,4.0,-
20,chiller3_evap_nwk_4nc_piecewise_steps,4.0,-
21,chiller3_evap_nwk_4nc_tenwkflow,729.26,m3/h
22,chiller3_evap_pump_4nc_piecewise_steps,4.0,-
23,cp_nwk_4nc_tenwkflow,729.26,m3/h
24,dist_nwk_pump_4nc_nwk_choice,3.0,-
25,dist_nwk_pump_4nc_piecewise_steps,4.0,-
26,gv2_nwk_4nc_piecewise_steps,4.0,-
27,gv2_nwk_4nc_tenwkflow,729.26,m3/h
28,gv2_substation_4nc_demand,499.1,kWh
29,gv2_substation_4nc_tenwkflow,729.26,m3/h
30,hsb_nwk_4nc_piecewise_steps,4.0,-
31,hsb_nwk_4nc_tenwkflow,729.26,m3/h
32,hsb_substation_4nc_demand,300.0,kWh
33,hsb_substation_4nc_tenwkflow,729.26,m3/h
34,ice_nwk_4nc_piecewise_steps,4.0,-
35,ice_nwk_4nc_tenwkflow,729.26,m3/h
36,pfa_nwk_4nc_piecewise_steps,4.0,-
37,pfa_nwk_4nc_tenwkflow,729.26,m3/h
38,pfa_substation_4nc_demand,50.0,kWh
39,pfa_substation_4nc_tenwkflow,729.26,m3/h
40,ser_nwk_4nc_piecewise_steps,4.0,-
41,ser_nwk_4nc_tenwkflow,729.26,m3/h
42,ser_substation_4nc_demand,50.0,kWh
43,ser_substation_4nc_tenwkflow,729.26,m3/h
44,tro_nwk_4nc_piecewise_steps,4.0,-
45,tro_nwk_4nc_tenwkflow,729.26,m3/h
