,ch1_enwk_4nc_1_m_perc,ch1_enwk_4nc_2_m_perc,ch1_enwk_4nc_3_m_perc,ch1_enwk_4nc_4_m_perc,ch2_enwk_4nc_1_m_perc,ch2_enwk_4nc_2_m_perc,ch2_enwk_4nc_3_m_perc,ch2_enwk_4nc_4_m_perc,ch3_enwk_4nc_1_m_perc,ch3_enwk_4nc_2_m_perc,ch3_enwk_4nc_3_m_perc,ch3_enwk_4nc_4_m_perc,ch1_ep_4nc_1_m_flow,ch1_ep_4nc_1_delp,ch1_ep_4nc_2_m_flow,ch1_ep_4nc_2_delp,ch1_ep_4nc_3_m_flow,ch1_ep_4nc_3_delp,ch1_ep_4nc_4_m_flow,ch1_ep_4nc_4_delp,ch2_ep_4nc_1_m_flow,ch2_ep_4nc_1_delp,ch2_ep_4nc_2_m_flow,ch2_ep_4nc_2_delp,ch2_ep_4nc_3_m_flow,ch2_ep_4nc_3_delp,ch2_ep_4nc_4_m_flow,ch2_ep_4nc_4_delp,ch3_ep_4nc_1_m_flow,ch3_ep_4nc_1_delp,ch3_ep_4nc_2_m_flow,ch3_ep_4nc_2_delp,ch3_ep_4nc_3_m_flow,ch3_ep_4nc_3_delp,ch3_ep_4nc_4_m_flow,ch3_ep_4nc_4_delp,sp1_temp_4nc_t_inout,ice_nwk_4nc_1_m_perc,ice_nwk_4nc_2_m_perc,ice_nwk_4nc_3_m_perc,ice_nwk_4nc_4_m_perc,gv2_nwk_4nc_1_m_perc,gv2_nwk_4nc_2_m_perc,gv2_nwk_4nc_3_m_perc,gv2_nwk_4nc_4_m_perc,hsb_nwk_4nc_1_m_perc,hsb_nwk_4nc_2_m_perc,hsb_nwk_4nc_3_m_perc,hsb_nwk_4nc_4_m_perc,tro_nwk_4nc_1_m_perc,tro_nwk_4nc_2_m_perc,tro_nwk_4nc_3_m_perc,tro_nwk_4nc_4_m_perc,pfa_nwk_4nc_1_m_perc,pfa_nwk_4nc_2_m_perc,pfa_nwk_4nc_3_m_perc,pfa_nwk_4nc_4_m_perc,ser_nwk_4nc_1_m_perc,ser_nwk_4nc_2_m_perc,ser_nwk_4nc_3_m_perc,ser_nwk_4nc_4_m_perc,para_nwk_con_4nc_delp,dist_np_4nc_combi_0_0_m_flow,dist_np_4nc_combi_0_0_delp,dist_np_4nc_combi_0_1_m_flow,dist_np_4nc_combi_0_1_delp,dist_np_4nc_combi_0_2_m_flow,dist_np_4nc_combi_0_2_delp,dist_np_4nc_combi_0_3_m_flow,dist_np_4nc_combi_0_3_delp,dist_np_4nc_combi_1_0_m_flow,dist_np_4nc_combi_1_0_delp,dist_np_4nc_combi_1_1_m_flow,dist_np_4nc_combi_1_1_delp,dist_np_4nc_combi_1_2_m_flow,dist_np_4nc_combi_1_2_delp,dist_np_4nc_combi_1_3_m_flow,dist_np_4nc_combi_1_3_delp,dist_np_4nc_combi_2_0_m_flow,dist_np_4nc_combi_2_0_delp,dist_np_4nc_combi_2_1_m_flow,dist_np_4nc_combi_2_1_delp,dist_np_4nc_combi_2_2_m_flow,dist_np_4nc_combi_2_2_delp,dist_np_4nc_combi_2_3_m_flow,dist_np_4nc_combi_2_3_delp,dist_np_4nc_combi_3_0_m_flow,dist_np_4nc_combi_3_0_delp,dist_np_4nc_combi_3_1_m_flow,dist_np_4nc_combi_3_1_delp,dist_np_4nc_combi_3_2_m_flow,dist_np_4nc_combi_3_2_delp,dist_np_4nc_combi_3_3_m_flow,dist_np_4nc_combi_3_3_delp,dist_np_4nc_combi_4_0_m_flow,dist_np_4nc_combi_4_0_delp,dist_np_4nc_combi_4_1_m_flow,dist_np_4nc_combi_4_1_delp,dist_np_4nc_combi_4_2_m_flow,dist_np_4nc_combi_4_2_delp,dist_np_4nc_combi_4_3_m_flow,dist_np_4nc_combi_4_3_delp,dist_np_4nc_combi_5_0_m_flow,dist_np_4nc_combi_5_0_delp,dist_np_4nc_combi_5_1_m_flow,dist_np_4nc_combi_5_1_delp,dist_np_4nc_combi_5_2_m_flow,dist_np_4nc_combi_5_2_delp,dist_np_4nc_combi_5_3_m_flow,dist_np_4nc_combi_5_3_delp,dist_np_4nc_combi_6_0_m_flow,dist_np_4nc_combi_6_0_delp,dist_np_4nc_combi_6_1_m_flow,dist_np_4nc_combi_6_1_delp,dist_np_4nc_combi_6_2_m_flow,dist_np_4nc_combi_6_2_delp,dist_np_4nc_combi_6_3_m_flow,dist_np_4nc_combi_6_3_delp,sp2_temp_4nc_t_inout,ch1_cnwk_4nc_1_m_perc,ch1_cnwk_4nc_2_m_perc,ch1_cnwk_4nc_3_m_perc,ch1_cnwk_4nc_4_m_perc,ch2_cnwk_4nc_1_m_perc,ch2_cnwk_4nc_2_m_perc,ch2_cnwk_4nc_3_m_perc,ch2_cnwk_4nc_4_m_perc,ch3_cnwk_4nc_1_m_perc,ch3_cnwk_4nc_2_m_perc,ch3_cnwk_4nc_3_m_perc,ch3_cnwk_4nc_4_m_perc,ch1_cp_4nc_1_m_flow,ch1_cp_4nc_1_delp,ch1_cp_4nc_2_m_flow,ch1_cp_4nc_2_delp,ch1_cp_4nc_3_m_flow,ch1_cp_4nc_3_delp,ch1_cp_4nc_4_m_flow,ch1_cp_4nc_4_delp,ch2_cp_4nc_1_m_flow,ch2_cp_4nc_1_delp,ch2_cp_4nc_2_m_flow,ch2_cp_4nc_2_delp,ch2_cp_4nc_3_m_flow,ch2_cp_4nc_3_delp,ch2_cp_4nc_4_m_flow,ch2_cp_4nc_4_delp,ch3_cp_4nc_1_m_flow,ch3_cp_4nc_1_delp,ch3_cp_4nc_2_m_flow,ch3_cp_4nc_2_delp,ch3_cp_4nc_3_m_flow,ch3_cp_4nc_3_delp,ch3_cp_4nc_4_m_flow,ch3_cp_4nc_4_delp,ch1_4nc_1_evap_m_perc,ch1_4nc_1_evap_t_out,ch1_4nc_2_evap_m_perc,ch1_4nc_2_evap_t_out,ch1_4nc_3_evap_m_perc,ch1_4nc_3_evap_t_out,ch1_4nc_4_evap_m_perc,ch1_4nc_4_evap_t_out,ch2_4nc_1_evap_m_perc,ch2_4nc_1_evap_t_out,ch2_4nc_2_evap_m_perc,ch2_4nc_2_evap_t_out,ch2_4nc_3_evap_m_perc,ch2_4nc_3_evap_t_out,ch2_4nc_4_evap_m_perc,ch2_4nc_4_evap_t_out,ch3_4nc_1_evap_m_perc,ch3_4nc_1_evap_t_out,ch3_4nc_2_evap_m_perc,ch3_4nc_2_evap_t_out,ch3_4nc_3_evap_m_perc,ch3_4nc_3_evap_t_out,ch3_4nc_4_evap_m_perc,ch3_4nc_4_evap_t_out,cp_nwk_4nc_m_perc,cp_nwk_4nc_tinout,gv2_ss_4nc_m_perc,gv2_ss_4nc_t_in,hsb_ss_4nc_m_perc,hsb_ss_4nc_t_in,pfa_ss_4nc_m_perc,pfa_ss_4nc_t_in,ser_ss_4nc_m_perc,ser_ss_4nc_t_in,ch1_4nc_cond_m_perc,ch1_4nc_cond_t_out,ch2_4nc_cond_m_perc,ch2_4nc_cond_t_out,ch3_4nc_cond_m_perc,ch3_4nc_cond_t_out,ch_e_f_c_4nc_m_perc,ch_evap_ret_4nc_t_in,ch_c_f_c_4nc_m_perc,obj
0,1.30E-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.22E-10,9.76E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.067316,10.47406284,0.034149457,0.145326151,0,0,0,0.111742847,0,0,0,0.033583304,0,0,0,0.088823306,0,0,0,0.080827281,0,0,0,0.007996025,0,0,0,7.966240695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6083955,7.966240695,0,0,0,0,0,0,0,0,0,0,0,0,0.067211632,3.42E-13,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,3.77E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,1.30E-12,1.01E-12,0,0,0,0,0,0,0,0,0,0,1.51E-15,2.64E-16,1,0.024089864,0,0,1.00E-13,-1.00E-13,1.51E-15,2.64E-16,0.765850543,0.034149457,0.111742847,0.006120927,0.033583304,0.006120927,0.080827281,0.006120927,0.007996025,0.006120927,3.42E-13,3.42E-13,0,0,0.99,0.133,1,1,1,666.2505413
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.1676028,11.84582277,0.036288412,0.136416251,0,0,0,0.104891928,0,0,0,0.031524322,0,0,0,0.099872161,0,0,0,0.077709074,0,0,0,0.022163087,0,0,0,8.407451919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0872349,8.407451919,0,0,0,0,0,0,0,0,0,0,0,0,0.068058162,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-15,4.16E-17,1,0.085099865,1.94E-16,-8.33E-17,0,0,1.29E-15,4.16E-17,0.763711588,0.036288412,0.104891928,0.022163087,0.031524322,0.022163087,0.077709074,0.022290926,0.022163087,0.022163087,0,0,0,0,0.99,0.745,1,1,1,672.7114611
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.4569909,7.898797537,0,0,0,0,0,0,0,0,0.052763599,0,0.291453987,0,0,0.145726993,0,0,0,0.145726993,0,0,0,0,0.291453987,0,0,0.145726993,0,0,0,0.145726993,0,0,0,26.79046711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.8147261,26.79046711,0,0,0,0,0,0,0,0,0,0,0.081391007,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.404311411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417092026,0.052763599,0.145726993,0.145726993,0.145726993,0.145726993,0.145726993,0.145726993,0.145726993,0.145726993,0,0,0.99,0.643,0,0,1,1,1,653.3335013
3,0,0,0,0,0,0,0,1,0,0,0,1.47E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.4184216,8.133762713,0,0,0,0,0,0,1.00E-09,1.10E-11,0.052396498,0,0.285947474,0,0,0.142973737,0,0,0,0.142973737,0,0,0,0,0.285947474,0,0,0.142973737,0,0,0,0.142973737,0,0,0,26.93437748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.5559629,26.93437748,0,0,0,0,0,0,0,0,0,0,0.077581623,0,0,0,0,0,0,0,0.99,0,0,0,1.63E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31E-11,1476,13.6095139,0,0,0,0,6.14E-10,0,1.07E-09,2.05E-11,0,0,0,0,0,0,0,0,1,0.430822642,0,0,0,0,0,0,1.47E-12,0,0,0,0,0,0,0,0.428105052,0.071260372,0.142973737,0.142973737,0.142973737,0.142973737,0.142973737,0.142973737,0.142973737,0.142973737,0,0,0.99,0.99,1.43E-12,1.43E-12,1,1,1,643.2913577
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.1289712,10.77481775,0,0,0,0,0,0,0,0,0.04898973,0.234845956,0,0,0,0.117422978,0,0,0,0.117422978,0,0,0,0.234845956,0,0,0,0.117422978,0,0,0,0.117422978,0,0,0,28.4045374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.4808838,28.4045374,0,0,0,0,0,0,0,0,0,0,0.070174487,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,2.27E-13,0,0,0,0,0,0,0,0,0,1,0.424970327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530308089,0.04898973,0.117422978,0.117422978,0.117422978,0.117422978,0.117422978,0.117422978,0.117422978,0.117422978,0,0,0.99,0.357,0,0,1,1,1,640.4999319
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780.8819681,10.84985569,0.048908741,0.233631113,0,0,0,0.116815557,0,0,0,0.116815557,0,0,0,0.233631113,0,0,0,0.116815557,0,0,0,0.116815557,0,0,0,28.44303453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.8766474,28.44303453,0,0,0,0,0,0,0,0,0,0,0.069751222,0,0,0,0,0,0,0,0,0,0,0,0.776016994,53.527834,0,0,0,0,0,0,0,5.00E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.472166,13.8890624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-15,4.16E-17,1,0.427685629,0,0,0,0,1.29E-15,4.16E-17,0.532737773,0.065259632,0.116815557,0.116815557,0.116815557,0.116815557,0.116815557,0.116815557,0.116815557,0.116815557,0,0,0,0,0.776016994,0.776016994,1,1,1,659.8623591
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.2334977,8.102648286,0.052444393,3.14E-13,0.286665889,0,0,0.143332944,0,0,0,0.143332944,0,0,0,0,0.286665889,0,0,0.143332944,0,0,0,0.143332944,0,0,0,26.91546433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.8528167,26.91546433,0,0,0,0,0,0,0,0,0,0,0.069962854,0,0,0,0,0,0,0,0,0,0,0,0.776016994,53.527834,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55E-13,0,0,0,0,0,0,0,1829.472166,13.8890624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.521739261,0,0,1.12E-13,-1.12E-13,0,0,0.426668223,0.052444393,0.143332944,0.143332944,0.143332944,0.143332944,0.143332944,0.143332944,0.143332944,0.143332944,0,0,0,0,0.776016994,0.152351567,1,1,1,635.9949449
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.2908382,2.145180393,0,0,0,0,0,0,0,0,0,0,0.064516129,0,0.467741935,0,0,0.233870968,0,0,0,0.233870968,0,0,0,0,0.467741935,0,0,0.233870968,0,0,0,0.233870968,0,0,0,19.7938887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.8849776,19.7938887,0,0,0,0,0,0,0,0,0,0,0.109749756,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.408064062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129,0.064516129,0.233870968,0.233870968,0.233870968,0.233870968,0.233870968,0.233870968,0.233870968,0.233870968,0,0,0.99,0.098045399,0,0,1,1,1,630.7520687
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.9678147,7.079567218,0,0,0,0,0,0,0,0,0.035461345,0,0.267381515,0,0,0.22706547,0,0,0,0.040316045,0,0,0,0.16807983,0,0,0,0.084039915,0,0,0,0.084039915,0,0,0,6.878490326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.2457838,6.878490326,0,0,0,0,0,0,0,0,0,0,0,0,0.122447703,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.023879553,0,0,0,0,0,0,0,0,0,0,0,0,0.564538655,0.035461345,0.22706547,0.015960085,0.040316045,0.015960085,0.084039915,0.015960085,0.084039915,0.015960085,0,0,0.99,0.541,0,0,1,1,1,777.5859302
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.77114,2.803126402,0,0,0,0,0,0,0,0,0,0,0.037850534,0.219953834,0,0,0,0.183239791,0,0,0,0.036714043,0,0,0,0.178325354,0,0,0,0.089162677,0,0,0,0.089162677,0,0,0,3.501808472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.3035096,3.501808472,0,0,0,0,0,0,0,0,0,0,0,0,0.12223607,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.050810589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601720812,0.037850534,0.183239791,0.033879003,0.036714043,0.033879003,0.089162677,0.033879003,0.089162677,0.033879003,0,0,0.99,0.969,0,0,1,1,1,702.9610601
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.5906554,11.69191003,0.037217593,0,0.29548148,0,0,0,0.263740534,0,0,0.031740946,0,0,0,0.141736112,0,0,0,0.070868056,0,0,0,0.070868056,0,0,0,8.539421728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.8417125,8.539421728,0,0,0,0,0,0,0,0,0,0,0.108479961,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,13.6095139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.051689069,0,0,0,0,0.562782407,0.037217593,0.263740534,0.029131944,0.031740946,0.029131944,0.070868056,0.029131944,0.070868056,0.029131944,0,0,0,0,0.99,0.898,1,1,1,839.3993035
